,YEAR,SCHOOL_TYPE,METRICS,GENDER,ABIA,ABUJA,ADAMAWA,AKWA IBOM,ANAMBRA,BAUCHI,BAYELSA,BENUE,BORNO,CROSS RIVER,DELTA,EBONYI,EDO,EKITI,ENUGU,GOMBE,IMO,JIGAWA,KADUNA,KANO,KATSINA,KEBBI,KOGI,KWARA,LAGOS,NASSARAWA,NIGER,OGUN,ONDO,OSUN,OYO,PLATEAU,RIVERS,SOKOTO,TARABA,YOBE,ZAMFARA,NIGERIA,OFFSHORE
0,2016,PRIVATE,TOTAL NUMBER SAT,MALE,309.0,1530.0,140.0,1039.0,823.0,124.0,128.0,544.0,43.0,522.0,1820.0,186.0,920.0,374.0,2399.0,54.0,658.0,166.0,963.0,2023.0,213.0,279.0,2201.0,1597.0,38795.0,853.0,1138.0,13034.0,680.0,1442.0,6934.0,659.0,5363.0,136.0,107.0,29.0,127.0,88352.0,
1,2016,PRIVATE,TOTAL NUMBER SAT,FEMALE,276.0,1387.0,80.0,985.0,846.0,54.0,109.0,291.0,25.0,492.0,1695.0,109.0,739.0,285.0,2290.0,14.0,540.0,41.0,572.0,737.0,151.0,120.0,1695.0,1487.0,40110.0,595.0,851.0,13722.0,559.0,1311.0,7080.0,445.0,4605.0,93.0,49.0,4.0,25.0,84469.0,
2,2016,PRIVATE,5 CREDITS AND ABOVE INCLUDING ENGLISH LANGUAGE,MALE,65.0,164.0,24.0,262.0,200.0,17.0,49.0,43.0,3.0,93.0,531.0,30.0,261.0,92.0,929.0,5.0,194.0,22.0,233.0,494.0,24.0,105.0,456.0,544.0,19640.0,285.0,477.0,7399.0,150.0,401.0,2447.0,219.0,2655.0,11.0,7.0,9.0,9.0,38549.0,
3,2016,PRIVATE,5 CREDITS AND ABOVE INCLUDING ENGLISH LANGUAGE,FEMALE,59.0,153.0,6.0,248.0,236.0,6.0,37.0,26.0,2.0,67.0,519.0,23.0,220.0,66.0,945.0,1.0,156.0,5.0,123.0,253.0,11.0,52.0,411.0,515.0,21584.0,220.0,343.0,8123.0,102.0,292.0,2600.0,163.0,2636.0,19.0,1.0,0.0,3.0,40226.0,
4,2016,PRIVATE,5 CREDITS AND ABOVE INCLUDING MATHEMATICS,MALE,39.0,111.0,9.0,146.0,183.0,13.0,43.0,25.0,5.0,48.0,454.0,22.0,210.0,65.0,778.0,2.0,129.0,31.0,184.0,426.0,20.0,110.0,489.0,552.0,19693.0,272.0,345.0,7091.0,127.0,356.0,1815.0,198.0,2551.0,8.0,6.0,7.0,18.0,36581.0,
5,2016,PRIVATE,5 CREDITS AND ABOVE INCLUDING MATHEMATICS,FEMALE,27.0,80.0,4.0,131.0,188.0,3.0,27.0,10.0,1.0,32.0,436.0,10.0,151.0,56.0,701.0,1.0,95.0,6.0,69.0,219.0,3.0,60.0,430.0,483.0,20979.0,215.0,235.0,7508.0,68.0,226.0,1602.0,117.0,2499.0,12.0,0.0,0.0,2.0,36686.0,
6,2016,PRIVATE,5 CREDITS & ABOVE INCLUDING MATHEMATICS & ENGLISH LANG.,MALE,35.0,100.0,9.0,125.0,138.0,11.0,38.0,16.0,3.0,44.0,383.0,17.0,173.0,53.0,681.0,1.0,112.0,17.0,148.0,329.0,14.0,100.0,371.0,438.0,16727.0,239.0,277.0,6221.0,110.0,306.0,1533.0,164.0,2174.0,7.0,3.0,7.0,6.0,31130.0,
7,2016,PRIVATE,5 CREDITS & ABOVE INCLUDING MATHEMATICS & ENGLISH LANG.,FEMALE,25.0,79.0,4.0,113.0,144.0,3.0,27.0,10.0,1.0,28.0,360.0,9.0,135.0,43.0,624.0,1.0,82.0,4.0,60.0,178.0,3.0,49.0,319.0,399.0,18224.0,183.0,187.0,6727.0,64.0,203.0,1377.0,96.0,2174.0,12.0,0.0,0.0,0.0,31947.0,
8,2016,PUBLIC,TOTAL NUMBER SAT,MALE,24322.0,9081.0,14209.0,29079.0,18153.0,19539.0,10059.0,24469.0,8866.0,20418.0,25384.0,11984.0,30737.0,9320.0,19228.0,10963.0,21132.0,17310.0,51183.0,29193.0,13738.0,18809.0,18747.0,17993.0,69062.0,27977.0,31576.0,41516.0,17871.0,18322.0,34361.0,21963.0,29717.0,18486.0,11350.0,9568.0,19774.0,825485.0,26.0
9,2016,PUBLIC,TOTAL NUMBER SAT,FEMALE,27405.0,11060.0,9956.0,30900.0,22392.0,9975.0,9314.0,18647.0,5648.0,19088.0,25832.0,12162.0,30948.0,9243.0,23546.0,6782.0,22720.0,5718.0,39431.0,20636.0,6666.0,8243.0,15273.0,16635.0,76124.0,20354.0,21937.0,43370.0,17020.0,18363.0,36679.0,18458.0,31956.0,7288.0,7233.0,3810.0,7647.0,718489.0,30.0
10,2016,PUBLIC,5 CREDITS AND ABOVE INCLUDING ENGLISH LANGUAGE,MALE,20403.0,6336.0,7736.0,17410.0,14919.0,6999.0,8135.0,15942.0,5519.0,14595.0,17701.0,6967.0,25090.0,5993.0,14940.0,2255.0,16898.0,3938.0,30728.0,12800.0,6691.0,4995.0,10637.0,11397.0,51023.0,16964.0,12065.0,23718.0,13771.0,10204.0,15711.0,14396.0,24895.0,6202.0,8166.0,1731.0,4066.0,491942.0,6.0
11,2016,PUBLIC,5 CREDITS AND ABOVE INCLUDING ENGLISH LANGUAGE,FEMALE,23564.0,7315.0,5335.0,19378.0,18833.0,4582.0,7776.0,12235.0,3594.0,14195.0,18596.0,6936.0,26247.0,6582.0,18188.0,1894.0,18989.0,1386.0,25448.0,10445.0,3268.0,2598.0,9242.0,11078.0,57611.0,12912.0,9742.0,26075.0,13602.0,10725.0,17007.0,12369.0,27376.0,2793.0,5187.0,815.0,1959.0,475887.0,10.0
12,2016,PUBLIC,5 CREDITS AND ABOVE INCLUDING MATHEMATICS,MALE,18485.0,5268.0,7211.0,16960.0,13956.0,7870.0,8097.0,16106.0,5645.0,12903.0,17557.0,6649.0,25237.0,5722.0,13000.0,2277.0,16249.0,5847.0,34433.0,14203.0,6784.0,7357.0,11419.0,12491.0,46379.0,19979.0,13311.0,22999.0,12673.0,9635.0,15032.0,12867.0,24102.0,7524.0,7959.0,1736.0,5610.0,491539.0,7.0
13,2016,PUBLIC,5 CREDITS AND ABOVE INCLUDING MATHEMATICS,FEMALE,20688.0,5327.0,5058.0,18705.0,17040.0,4877.0,7468.0,12300.0,3842.0,12253.0,18273.0,6489.0,25875.0,6231.0,14841.0,2069.0,18027.0,2461.0,28501.0,11755.0,3516.0,3501.0,9309.0,11840.0,51058.0,14597.0,10213.0,24939.0,12290.0,9937.0,16129.0,10844.0,25848.0,4252.0,5006.0,1022.0,2805.0,459191.0,5.0
14,2016,PUBLIC,5 CREDITS & ABOVE INCLUDING MATHEMATICS & ENGLISH LANG.,MALE,17264.0,4895.0,6097.0,14225.0,12724.0,5848.0,7209.0,12573.0,4598.0,11812.0,15542.0,5272.0,22257.0,4770.0,12003.0,1597.0,14984.0,2968.0,26976.0,9932.0,5187.0,4197.0,8781.0,9730.0,43431.0,14579.0,9859.0,21478.0,11475.0,8200.0,12408.0,10781.0,22240.0,5171.0,7026.0,1227.0,3061.0,412383.0,6.0
